Category	level	distribution_channel	period	dt	manufacturer	brand	BBSKU	NAMESKU	ean	segment	format	tar_rmce	vol	val	rcnt	qty	shvol	shval	shrcnt	shqty	dntot	dn	dnvol	dnval	dwqty	dwvaltot	shsvol	shsval	avp	avpjm	avtvol	avtval	avtqty	avsvol	avsval	avsrcnt	avsqty	avgsku
purpose	1	Retail	12	04/09/2025	Johnson LLC	election	BB3218	begin	9600133890830	sense	rate	0.24	148.14	111.47	95	457	54.99	59.46	3	16	1374.78	124.0	304.99	285.01	367	653.39	54.95	22.82	59.34	81.13	16.43	807.76	358	42.84	28.51	28	491	782
science	3	Retail	2	04/09/2025	Barnes, Cole and Ramirez	true	BB0265	fall	2351161559400	show	machine	0.1	849.02	607.69	6	374	46.48	13.36	25	41	3208.16	416.41	313.07	432.24	296	200.37	7.89	66.47	77.53	98.54	856.76	867.82	195	28.52	63.93	47	84	380
not	3	Retail	11	04/07/2025	Dudley Group	bar	BB8495	participant	3103413164752	commercial	hospital	0.7	686.71	80.69	82	88	53.88	25.24	30	195	2079.79	463.44	347.2	117.61	167	844.42	77.82	23.68	4.18	32.23	275.06	218.87	483	57.15	72.07	28	336	512
hear	4	Wholesale	8	04/09/2025	Santiago Ltd	write	BB1928	shoulder	3276483503056	institution	executive	0.26	254.16	565.75	34	383	58.87	89.88	26	186	1877.28	498.79	259.67	54.55	25	862.49	16.13	16.84	68.37	60.04	390.92	599.93	240	53.38	97.14	2	349	739
attorney	1	Wholesale	9	04/07/2025	Gentry PLC	under	BB5376	usually	7242388496966	high	discuss	0.77	346.77	300.57	21	233	1.32	72.49	47	135	4887.55	383.36	258.76	62.14	321	305.46	64.26	61.29	16.13	76.49	543.99	780.84	272	91.93	60.3	63	10	115
certainly	3	Online	4	04/07/2025	Snyder, Campos and Callahan	claim	BB2691	image	6978480184517	finally	learn	0.24	571.68	87.97	94	249	81.79	97.82	35	393	1503.04	333.28	473.96	90.91	271	873.71	42.89	21.97	54.39	73.26	209.14	318.6	344	65.34	44.37	67	232	124
coach	2	Retail	2	04/10/2025	Smith-Bowen	serve	BB4828	while	1489325288093	game	middle	0.02	558.38	592.56	1	37	71.08	6.83	5	464	1125.65	171.91	261.94	146.45	249	222.09	14.1	93.62	57.53	47.79	786.77	809.42	98	10.34	66.24	46	217	421
after	4	Wholesale	1	04/09/2025	Hickman LLC	education	BB0391	bed	7182278248964	development	woman	0.06	730.93	802.59	14	128	19.97	54.09	9	217	1733.95	236.69	438.5	46.94	414	862.74	55.48	6.01	99.93	83.77	969.31	927.1	435	24.4	41.23	62	110	886
notice	4	Retail	3	04/08/2025	Vaughn, Marquez and Ross	remain	BB5787	camera	3315098393017	second	program	0.0	396.52	927.25	59	147	42.88	95.77	36	339	3873.63	85.85	155.39	484.67	297	738.38	7.03	32.05	5.96	48.2	920.19	535.81	30	96.12	8.93	24	36	610
artist	1	Wholesale	4	04/10/2025	Jones Inc	trade	BB5183	family	7382997376317	bill	reason	0.12	891.38	253.75	77	21	62.32	42.5	38	290	3091.13	468.01	110.09	360.93	123	272.96	13.96	64.9	46.27	92.97	936.38	19.22	319	99.85	99.61	10	276	219
